,freight_value,payment_installments,payment_value,review_score,days_to_delivery,delivery_days b/(w),review_response_days,freight_percent,late,repeat?
45056,10.96,1,40.95,5,-6,15,0,0.26764346764346764,1,1
56791,21.51,10,461.02,1,-23,11,1,0.04665741182595116,1,1
72745,18.64,5,70.64,1,-17,9,1,0.2638731596828992,1,1
86001,11.1,1,81.0,5,-8,15,2,0.13703703703703704,1,1
115824,24.84,1,54.83,5,-24,11,1,0.4530366587634507,1,1
108023,10.96,5,56.58,5,-6,23,3,0.19370802403676213,1,1
44151,14.87,2,114.77,4,-8,18,3,0.12956347477563823,1,1
105453,16.04,2,135.24,4,-21,22,3,0.1186039633244602,1,1
23810,26.21,5,166.11,5,-8,14,3,0.15778700860875322,1,1
104233,15.0,5,133.9,4,-7,18,4,0.11202389843166542,1,1
5445,15.7,6,85.6,5,-15,17,7,0.18341121495327103,1,1
107017,16.69,6,228.6,5,-19,7,0,0.07300962379702539,1,1
1233,23.29,6,218.28,5,-18,22,2,0.10669781931464174,1,1
47639,16.3,4,102.29,3,-18,16,3,0.15935086518721284,1,1
55203,51.32,3,1011.31,5,-11,13,2,0.05074606203834631,1,1
40463,10.96,2,29.95,5,-11,11,2,0.36594323873121876,1,1
114390,14.52,5,53.42,1,-18,20,1,0.2718083114938225,1,1
44225,60.84,1,240.74,5,-24,7,0,0.25272077760239264,1,1
94932,16.45,1,386.9,2,-18,5,1,0.04251744636857069,1,1
38505,11.9,1,85.25,5,-9,11,7,0.13958944281524927,1,1
113010,16.15,8,81.14,5,-10,20,0,0.19903869854572342,1,1
35814,12.72,10,202.62,5,-16,6,0,0.06277761326621262,1,1
16056,14.52,1,42.42,5,-10,13,3,0.3422913719943423,1,1
47575,22.49,4,332.48,5,-14,12,1,0.06764316650625601,1,1
71832,22.17,1,122.07,5,-24,-3,4,0.18161710493978866,0,1
92566,17.75,3,147.65,4,-17,9,3,0.12021672875042329,1,1
117267,16.14,1,136.04,4,-36,-3,1,0.11864157600705676,0,1
95311,15.79,1,99.15,3,-14,11,4,0.1592536560766515,1,1
82353,15.63,1,75.53,3,-16,6,18,0.20693764067258044,1,1
64961,15.95,2,270.85,5,-23,10,5,0.05888868377330625,1,1
54493,19.35,8,818.35,1,-28,-7,0,0.02364513961019124,0,1
64240,12.0,1,211.0,5,-9,10,3,0.05687203791469194,1,1
46736,14.52,1,39.42,5,-16,18,3,0.3683409436834094,1,1
90300,14.52,1,39.42,5,-13,21,1,0.3683409436834094,1,1
19065,20.08,10,105.08,1,-8,14,7,0.19109250095165586,1,1
80636,20.08,2,105.08,5,-8,14,3,0.19109250095165586,1,1
76037,11.74,10,121.28,5,-33,-13,2,0.09680079155672823,0,1
92407,16.34,10,192.33,2,-27,-6,4,0.08495814485519679,0,1
73902,10.96,1,35.86,4,-34,-15,1,0.305633017289459,0,1
78297,15.0,1,133.9,4,-13,9,1,0.11202389843166542,1,1
51355,14.55,6,68.55,5,-14,11,1,0.21225382932166303,1,1
8127,14.52,4,43.42,5,-6,15,1,0.33440810686319666,1,1
64126,27.0,8,102.0,5,-15,26,1,0.2647058823529412,1,1
99972,17.78,4,44.47,5,-18,16,1,0.3998201034405217,1,1
74165,18.15,6,205.35,5,-12,13,1,0.08838568298027757,1,1
110857,14.68,6,62.91,5,-33,5,1,0.23334922905738356,1,1
54104,22.85,3,102.75,5,-11,14,7,0.2223844282238443,1,1
20251,12.93,1,33.92,5,-11,8,11,0.381191037735849,1,1
2942,16.05,6,65.05,1,-16,8,1,0.24673328209069947,1,1
59073,14.85,6,111.85,5,-10,12,1,0.13276709879302637,1,1
30296,17.09,8,215.09,5,-12,19,5,0.0794551118136594,1,1
66764,15.23,1,166.23,4,-18,8,1,0.0916200445166336,1,1
15003,32.51,6,162.41,5,-17,15,3,0.20017240317714427,1,1
89373,24.89,6,81.88,5,-23,10,3,0.3039814362481681,1,1
43708,18.58,1,182.91,5,-18,8,3,0.10158001202777321,1,1
110468,14.52,1,33.51,4,-9,12,1,0.43330349149507613,1,1
102781,14.52,1,3.52,5,-12,12,1,4.125,1,1
188,10.96,3,47.96,4,-13,5,3,0.2285237698081735,1,1
37384,17.51,2,127.41,4,-16,6,4,0.13743034298720666,1,1
74540,33.26,2,173.25,5,-10,10,1,0.19197691197691197,1,1
52585,14.52,1,49.51,4,-21,1,3,0.2932740860432236,1,1
59121,28.48,10,213.38,2,-18,5,2,0.13347080326178648,1,1
12785,16.09,1,155.99,1,-14,2,1,0.10314763766908135,1,1
46285,24.91,1,84.81,5,-16,22,0,0.29371536375427426,1,1
86475,16.12,6,295.12,5,-15,7,1,0.0546218487394958,1,1
65741,19.32,1,124.22,5,-16,6,1,0.15553051038480117,1,1
104614,45.29,6,215.19,5,-15,14,1,0.21046517031460568,1,1
